claim_id,policy_id,claim_date,incident_date,policy_start_date,policy_expiry_date,report_delay_days,vehicle_make,vehicle_model,vehicle_type,damage_type,damage_location,damage_severity,agent_channel,coverage_type,is_weekend_claim,has_prior_claims,car_driveable,vehicle_age_years,mileage,driver_age,prior_claims_count,customer_tenure_years,manufacture_year,typical_market_value_gbp,part_cost_index,vehicle_value,repair_estimate_gbp,repair_to_value_ratio,is_high_value_vehicle,pre_ml_decision,pre_ml_label,repair_decision
CLM003028,POL004855,2017-02-08,2017-01-16,2013-05-03,2014-05-03,23,Volkswagen,Golf,SUV,vandalism,rear,minor,phone,third_party_fire_theft,False,True,False,18,28392,49,1,3,1999,,,,,,False,0.0,0.0,sent_to_garage
CLM003030,POL002135,2018-05-22,2018-05-19,2015-07-29,2016-07-28,3,Hyundai,i20,Estate,fire,side,severe,broker,third_party,False,True,True,0,98037,42,2,1,2018,16600.86,0.77,16600.86,3080.0,0.1855,False,0.0,0.0,sent_to_garage
CLM003032,POL000364,2019-03-07,2019-02-17,2015-11-15,2016-11-14,18,BMW,3 Series,Van,vandalism,front,minor,online,third_party,False,True,True,6,92935,38,1,8,2013,33443.88,1.765,17390.82,882.5,0.0507,False,0.0,0.0,sent_to_garage
CLM003033,POL001434,2020-06-20,2020-06-04,2020-05-02,2021-05-02,16,Honda,HR-V,SUV,collision,front,minor,direct,comprehensive,True,True,False,13,75394,17,2,15,2007,24179.9,0.921,2417.99,460.5,0.1904,False,0.0,0.0,sent_to_garage
CLM003035,POL006428,2021-05-03,2021-04-26,2015-10-04,2016-10-03,7,Vauxhall,Astra,Motorbike,flood,multiple,minor,broker,comprehensive,False,True,False,14,48165,57,0,15,2007,17326.85,0.734,1732.68,587.2,0.3389,False,0.0,1.0,sent_to_garage
CLM003036,POL003988,2019-11-16,2019-10-31,2018-02-01,2019-02-01,16,BMW,5 Series,Estate,flood,multiple,moderate,phone,comprehensive,True,True,True,11,132163,55,1,17,2008,45162.31,1.902,5419.48,6657.0,1.2283,False,1.0,1.0,scrapped_by_handler
CLM003037,POL003489,2019-09-28,2019-09-26,2013-02-02,2014-02-02,2,Audi,A3,Motorbike,vandalism,roof,moderate,online,third_party,True,False,False,14,163280,19,0,7,2005,28980.94,1.787,2898.09,4467.5,1.5415,False,1.0,1.0,scrapped_by_handler
CLM003038,POL000029,2018-01-26,2018-01-11,2013-09-24,2014-09-24,15,Hyundai,i30,Sedan,collision,side,moderate,phone,comprehensive,False,True,True,18,179425,56,0,18,2000,,,,,,False,0.0,0.0,sent_to_garage
CLM003039,POL001041,2021-01-03,2021-01-01,2013-01-21,2014-01-21,2,Audi,Q3,Van,vandalism,multiple,moderate,online,comprehensive,True,False,True,2,57235,45,1,15,2019,34104.72,1.793,28647.96,6275.5,0.2191,True,0.0,1.0,sent_to_garage
CLM003040,POL003589,2021-02-15,2021-01-26,2020-01-31,2021-01-30,20,Vauxhall,Mokka,Estate,collision,multiple,moderate,broker,comprehensive,False,False,True,19,151349,38,2,13,2002,,,,,,False,0.0,1.0,sent_to_garage
CLM003041,POL002145,2016-11-08,2016-10-22,2012-02-12,2013-02-11,17,Vauxhall,Corsa,Motorbike,fire,side,minor,broker,third_party_fire_theft,False,False,False,20,25868,48,1,3,1996,,,,,,False,0.0,1.0,sent_to_garage
CLM003042,POL005220,2019-08-23,2019-07-28,2018-10-24,2019-10-24,26,Mercedes,E-Class,Motorbike,theft_damage,roof,moderate,broker,comprehensive,False,True,True,2,65008,17,0,4,2017,53779.2,2.053,45174.53,5132.5,0.1136,True,0.0,1.0,sent_to_garage
CLM003043,POL004319,2021-10-20,2021-10-06,2020-02-27,2021-02-26,14,Volkswagen,Polo,Sedan,theft_damage,front,severe,broker,comprehensive,False,False,True,6,136668,44,0,8,2015,16084.97,0.908,8364.18,4540.0,0.5428,False,0.0,0.0,sent_to_garage
CLM003044,POL002527,2016-06-29,2016-06-24,2016-04-05,2017-04-05,5,Mercedes,C-Class,Hatchback,theft_damage,front,moderate,app,third_party_fire_theft,False,False,True,2,19652,36,1,17,2014,39846.91,1.903,33471.4,3806.0,0.1137,True,0.0,1.0,sent_to_garage
CLM003047,POL002604,2021-09-24,2021-08-26,2019-11-24,2020-11-23,29,Hyundai,Tucson,Sedan,theft_damage,multiple,moderate,direct,third_party,False,False,True,6,67611,34,0,5,2015,27524.56,0.89,14312.77,3115.0,0.2176,False,0.0,0.0,sent_to_garage
CLM003048,POL003629,2016-02-21,2016-02-20,2016-02-01,2017-01-31,1,Mercedes,E-Class,Estate,collision,side,moderate,direct,comprehensive,True,False,True,9,14005,36,1,11,2007,50011.02,1.947,14003.09,2920.5,0.2086,False,0.0,0.0,sent_to_garage
CLM003049,POL005188,2020-08-29,2020-08-09,2019-09-23,2020-09-22,20,Nissan,Micra,Hatchback,theft_damage,front,moderate,broker,comprehensive,True,True,True,2,82234,48,2,15,2018,12801.98,0.788,10753.66,1576.0,0.1466,False,0.0,1.0,sent_to_garage
CLM003051,POL005007,2016-03-15,2016-03-08,2015-03-22,2016-03-21,7,Volkswagen,Golf,Estate,collision,side,minor,broker,comprehensive,False,False,False,2,96287,17,0,5,2014,24753.39,1.024,20792.85,409.6,0.0197,True,0.0,1.0,sent_to_garage
CLM003054,POL004421,2016-09-06,2016-08-31,2014-01-09,2015-01-09,6,Toyota,Corolla,Motorbike,theft_damage,rear,minor,direct,comprehensive,False,False,True,13,172295,40,0,7,2003,,,,,,False,0.0,1.0,sent_to_garage
CLM003055,POL003471,2018-01-27,2018-01-02,2015-01-15,2016-01-15,25,Hyundai,i20,Hatchback,flood,roof,severe,broker,third_party_fire_theft,True,False,True,4,154599,68,3,12,2014,16668.58,0.803,11334.63,4818.0,0.4251,False,0.0,1.0,sent_to_garage
CLM003059,POL001218,2020-09-23,2020-09-22,2012-12-17,2013-12-17,1,Volkswagen,Passat,Sedan,fire,side,minor,phone,third_party,False,False,True,15,73045,44,1,10,2005,30285.64,1.043,3028.56,417.2,0.1378,False,0.0,0.0,sent_to_garage
CLM003060,POL001525,2021-06-02,2021-06-01,2017-07-07,2018-07-07,1,Toyota,Camry,Sedan,flood,rear,severe,direct,third_party,False,True,True,18,84816,55,0,20,2003,,,,,,False,1.0,1.0,scrapped_by_handler
CLM003061,POL003376,2020-09-20,2020-08-27,2012-04-21,2013-04-21,24,Hyundai,i10,Estate,fire,multiple,minor,broker,comprehensive,True,True,False,9,168462,17,0,20,2011,11705.67,0.734,3277.59,587.2,0.1792,False,0.0,1.0,sent_to_garage
CLM003062,POL002496,2021-03-13,2021-02-24,2021-03-03,2022-03-03,17,Mercedes,E-Class,Estate,fire,side,severe,app,comprehensive,True,True,False,14,141631,32,0,13,2007,50011.02,1.947,5001.1,7788.0,1.5573,False,1.0,1.0,scrapped_by_handler
CLM003064,POL004985,2016-06-12,2016-06-08,2013-02-09,2014-02-09,4,Volkswagen,Polo,Estate,vandalism,rear,moderate,phone,comprehensive,True,True,True,18,111493,32,1,5,1998,,,,,,False,0.0,0.0,sent_to_garage
CLM003065,POL002112,2017-11-19,2017-10-22,2012-11-18,2013-11-18,28,Honda,HR-V,SUV,theft_damage,front,minor,phone,comprehensive,True,True,True,1,7581,62,1,5,2016,24651.9,0.876,22679.75,438.0,0.0193,True,0.0,0.0,sent_to_garage
CLM003066,POL002519,2016-07-14,2016-06-19,2014-11-28,2015-11-28,25,Volkswagen,Golf,Estate,collision,roof,moderate,phone,comprehensive,False,False,True,3,10636,25,1,19,2013,25443.22,0.972,19336.85,2430.0,0.1257,True,0.0,0.0,sent_to_garage
CLM003069,POL004132,2016-06-23,2016-06-19,2016-04-21,2017-04-21,4,Honda,Jazz,Estate,collision,roof,moderate,app,third_party,False,False,True,16,7833,48,2,0,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM003070,POL002533,2016-12-12,2016-12-03,2014-04-07,2015-04-07,9,Mercedes,A-Class,Estate,vandalism,roof,severe,broker,third_party_fire_theft,False,False,True,15,95160,28,1,15,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM003071,POL000092,2018-05-20,2018-05-19,2014-10-26,2015-10-26,1,Volkswagen,Golf,Hatchback,fire,rear,moderate,broker,comprehensive,True,False,False,0,135565,36,0,12,2018,25225.8,0.994,25225.8,1789.2,0.0709,True,0.0,0.0,sent_to_garage
CLM003072,POL005976,2018-03-05,2018-02-28,2014-02-03,2015-02-03,5,Ford,Focus,Sedan,collision,roof,severe,phone,comprehensive,False,False,False,9,164343,68,0,14,2009,18516.46,0.808,5184.61,4848.0,0.9351,False,1.0,1.0,scrapped_by_handler
CLM003073,POL004607,2020-09-03,2020-08-08,2014-05-07,2015-05-07,26,Ford,Focus,Sedan,collision,front,moderate,app,comprehensive,False,False,False,12,4090,31,2,6,2008,17459.83,0.776,1745.98,1552.0,0.8889,False,0.0,0.0,sent_to_garage
CLM003074,POL004086,2020-06-27,2020-06-15,2014-11-03,2015-11-03,12,Hyundai,Tucson,Van,collision,side,moderate,app,third_party_fire_theft,True,False,False,19,127634,41,0,12,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM003075,POL004908,2019-03-21,2019-03-01,2013-03-31,2014-03-31,20,Hyundai,i30,Sedan,fire,multiple,minor,broker,comprehensive,False,True,True,13,186329,62,1,7,2006,19696.55,0.838,1969.66,670.4,0.3404,False,0.0,1.0,sent_to_garage
CLM003076,POL005121,2017-06-23,2017-05-27,2014-01-23,2015-01-23,27,Honda,Civic,SUV,fire,rear,minor,broker,comprehensive,False,False,False,17,106185,29,1,10,2000,,,,,,False,0.0,0.0,sent_to_garage
CLM003077,POL001906,2021-11-04,2021-10-12,2014-11-07,2015-11-07,23,BMW,X3,Van,flood,roof,minor,broker,comprehensive,False,False,False,14,155749,54,1,15,2007,49444.24,1.86,4944.42,1116.0,0.2257,False,0.0,0.0,sent_to_garage
CLM003079,POL003438,2021-10-05,2021-09-25,2015-07-16,2016-07-15,10,Vauxhall,Corsa,Van,collision,rear,minor,direct,comprehensive,False,True,True,20,135851,17,3,11,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM003083,POL003723,2021-11-11,2021-10-27,2012-03-31,2013-03-31,15,Hyundai,i30,Sedan,fire,multiple,moderate,phone,third_party,False,False,True,16,155757,47,1,11,2005,19991.21,0.798,1999.12,2793.0,1.3971,False,1.0,1.0,scrapped_by_handler
CLM003084,POL004410,2016-06-11,2016-05-27,2013-05-19,2014-05-19,15,Nissan,Qashqai,Van,vandalism,side,severe,broker,comprehensive,True,True,False,0,199009,33,0,3,2016,29385.51,0.92,29385.51,3680.0,0.1252,True,0.0,0.0,sent_to_garage
CLM003085,POL004297,2019-01-04,2018-12-09,2016-10-17,2017-10-17,26,Toyota,Yaris,Estate,vandalism,multiple,minor,direct,comprehensive,False,True,False,16,70848,46,3,17,2003,,,,,,False,0.0,1.0,sent_to_garage
CLM003086,POL001786,2019-11-07,2019-10-28,2012-03-01,2013-03-01,10,Audi,Q3,Motorbike,vandalism,roof,minor,direct,comprehensive,False,False,False,7,17346,54,0,12,2012,34648.87,1.769,15245.5,1061.4,0.0696,False,0.0,0.0,sent_to_garage
CLM003089,POL003088,2021-10-05,2021-09-24,2012-07-15,2013-07-15,11,Vauxhall,Corsa,Van,vandalism,front,minor,phone,comprehensive,False,False,True,7,72525,18,1,13,2014,13154.85,0.686,5788.13,343.0,0.0593,False,0.0,0.0,sent_to_garage
CLM003090,POL005190,2019-04-08,2019-03-11,2013-06-03,2014-06-03,28,Volkswagen,Polo,Hatchback,collision,multiple,minor,broker,comprehensive,False,True,True,13,92082,30,0,15,2006,15692.06,0.905,1569.21,724.0,0.4614,False,0.0,0.0,sent_to_garage
CLM003094,POL005988,2021-04-20,2021-04-11,2020-10-19,2021-10-19,9,Volkswagen,Polo,Estate,theft_damage,rear,minor,direct,comprehensive,False,False,True,10,141350,26,1,3,2011,16645.32,0.912,3329.06,410.4,0.1233,False,0.0,0.0,sent_to_garage
CLM003095,POL002629,2021-10-26,2021-09-27,2017-12-27,2018-12-27,29,Honda,HR-V,Van,vandalism,side,minor,phone,comprehensive,False,True,True,0,173190,44,1,18,2021,24038.32,0.906,24038.32,362.4,0.0151,True,0.0,0.0,sent_to_garage
CLM003096,POL000269,2019-02-15,2019-02-01,2016-01-18,2017-01-17,14,Mercedes,C-Class,Hatchback,vandalism,roof,minor,broker,third_party,False,False,True,0,94359,36,0,2,2019,41897.67,1.852,41897.67,1111.2,0.0265,True,0.0,0.0,sent_to_garage
CLM003097,POL000472,2019-08-07,2019-07-11,2012-04-22,2013-04-22,27,Ford,Transit,Sedan,flood,multiple,moderate,direct,comprehensive,False,False,True,10,12152,33,0,4,2009,31175.03,0.964,6235.01,3374.0,0.5411,False,0.0,0.0,sent_to_garage
CLM003098,POL002204,2018-06-27,2018-06-21,2014-07-22,2015-07-22,6,Volkswagen,Polo,Van,collision,front,minor,online,third_party_fire_theft,False,True,True,10,87389,41,0,14,2008,16324.85,0.907,3264.97,453.5,0.1389,False,0.0,0.0,sent_to_garage
CLM003099,POL001456,2018-04-24,2018-04-14,2015-08-21,2016-08-20,10,Ford,Transit,Motorbike,flood,multiple,minor,app,third_party,False,True,False,0,160541,32,3,15,2018,30298.15,0.971,30298.15,776.8,0.0256,True,0.0,1.0,sent_to_garage
CLM003100,POL000960,2021-11-15,2021-11-01,2017-04-04,2018-04-04,14,Nissan,Juke,Estate,flood,roof,severe,online,third_party_fire_theft,False,True,True,14,161307,63,1,18,2007,19308.85,0.835,1930.88,5010.0,2.0,False,1.0,1.0,scrapped_by_handler
CLM003101,POL005747,2019-06-15,2019-05-29,2015-11-20,2016-11-19,17,Hyundai,i30,Sedan,vandalism,side,minor,app,third_party,True,False,False,9,64503,34,1,4,2010,20733.22,0.832,5805.3,332.8,0.0573,False,0.0,0.0,sent_to_garage
CLM003102,POL001104,2017-03-15,2017-03-08,2012-08-02,2013-08-02,7,Vauxhall,Insignia,Hatchback,flood,roof,minor,app,third_party_fire_theft,False,True,True,12,108611,40,0,4,2005,24241.86,0.844,2424.19,506.4,0.2089,False,0.0,0.0,sent_to_garage
CLM003103,POL005878,2016-04-25,2016-04-16,2016-04-07,2017-04-07,9,Hyundai,i20,Estate,flood,rear,moderate,phone,comprehensive,False,True,True,18,192215,65,3,17,1998,,,,,,False,0.0,0.0,sent_to_garage
CLM003105,POL003620,2019-12-01,2019-11-23,2013-11-29,2014-11-29,8,Nissan,Micra,Hatchback,collision,front,severe,app,comprehensive,True,True,True,1,108709,56,1,9,2018,12801.98,0.788,11777.82,3940.0,0.3345,False,0.0,1.0,sent_to_garage
CLM003106,POL003818,2021-03-09,2021-02-14,2020-11-26,2021-11-26,23,Hyundai,Tucson,Sedan,vandalism,rear,minor,phone,comprehensive,False,True,True,9,181162,34,0,20,2012,27075.2,0.896,7581.06,403.2,0.0532,False,0.0,0.0,sent_to_garage
CLM003108,POL003651,2017-01-01,2016-12-02,2012-08-26,2013-08-26,30,Vauxhall,Insignia,Van,theft_damage,side,severe,broker,comprehensive,True,False,True,16,111499,34,1,1,2001,,,,,,False,1.0,1.0,scrapped_by_handler
CLM003111,POL001705,2021-10-05,2021-09-20,2012-08-04,2013-08-04,15,Toyota,Corolla,Sedan,vandalism,rear,moderate,broker,third_party,False,True,True,10,196432,75,0,12,2011,21841.39,0.856,4368.28,1540.8,0.3527,False,0.0,0.0,sent_to_garage
CLM003112,POL001441,2019-11-18,2019-11-16,2016-12-14,2017-12-14,2,Audi,Q5,Sedan,theft_damage,side,moderate,direct,comprehensive,False,True,True,15,125392,50,1,7,2004,44051.94,1.823,4405.19,2734.5,0.6207,False,0.0,1.0,sent_to_garage
CLM003114,POL003707,2017-11-01,2017-10-26,2012-11-19,2013-11-19,6,Vauxhall,Mokka,Sedan,theft_damage,multiple,moderate,online,third_party,False,False,True,10,87653,21,2,11,2007,21769.02,0.809,4353.8,2831.5,0.6504,False,0.0,1.0,sent_to_garage
CLM003115,POL002549,2018-09-20,2018-09-16,2012-09-08,2013-09-08,4,Nissan,Micra,SUV,vandalism,rear,minor,app,third_party,False,False,False,5,171369,46,0,14,2013,13515.78,0.779,8109.47,350.55,0.0432,False,0.0,0.0,sent_to_garage
CLM003117,POL000901,2018-06-25,2018-06-01,2018-03-24,2019-03-24,24,Nissan,Micra,Hatchback,vandalism,roof,minor,online,comprehensive,False,True,True,20,194994,52,0,14,1998,,,,,,False,0.0,1.0,sent_to_garage
CLM003120,POL001541,2021-05-03,2021-05-03,2017-10-10,2018-10-10,0,Mercedes,A-Class,Motorbike,vandalism,side,moderate,direct,third_party_fire_theft,False,False,True,15,88401,46,0,16,2006,30292.18,1.818,3029.22,2727.0,0.9002,False,1.0,1.0,scrapped_by_handler
CLM003121,POL000916,2018-09-05,2018-08-31,2015-08-18,2016-08-17,5,Volkswagen,Golf,Estate,collision,front,moderate,app,third_party_fire_theft,False,True,False,20,126746,27,0,5,1998,,,,,,False,0.0,1.0,sent_to_garage
CLM003124,POL002565,2020-11-22,2020-11-11,2019-04-27,2020-04-26,11,Toyota,Camry,Hatchback,flood,side,moderate,app,comprehensive,True,True,True,19,29661,49,1,20,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM003125,POL001076,2017-01-12,2016-12-28,2014-08-29,2015-08-29,15,Hyundai,i20,Sedan,vandalism,rear,moderate,app,third_party,False,True,True,11,167768,44,1,7,2006,15388.55,0.768,1846.63,1382.4,0.7486,False,0.0,0.0,sent_to_garage
CLM003126,POL001090,2019-12-22,2019-12-20,2012-11-02,2013-11-02,2,Toyota,RAV4,Estate,vandalism,front,moderate,broker,third_party,True,False,False,17,2390,25,1,9,2002,,,,,,False,0.0,0.0,sent_to_garage
CLM003127,POL003060,2019-11-19,2019-10-20,2017-12-28,2018-12-28,30,Honda,CR-V,Van,collision,roof,minor,broker,comprehensive,False,True,True,10,15111,48,2,6,2009,31412.65,0.913,6282.53,547.8,0.0872,False,0.0,0.0,sent_to_garage
CLM003128,POL000728,2017-09-14,2017-08-30,2013-11-23,2014-11-23,15,Toyota,Corolla,SUV,flood,roof,moderate,online,comprehensive,False,True,False,7,67142,28,1,20,2010,21511.77,0.84,9465.18,2100.0,0.2219,False,0.0,0.0,sent_to_garage
CLM003129,POL003890,2019-08-14,2019-08-04,2013-08-04,2014-08-04,10,Toyota,Camry,Hatchback,collision,rear,moderate,online,third_party,False,False,False,7,123394,53,0,12,2012,31030.77,0.887,13653.54,1596.6,0.1169,False,0.0,0.0,sent_to_garage
CLM003130,POL005551,2017-05-19,2017-04-19,2015-12-22,2016-12-21,30,Honda,HR-V,Sedan,vandalism,front,severe,broker,comprehensive,False,False,True,16,63018,53,0,15,2001,,,,,,False,1.0,1.0,scrapped_by_handler
CLM003132,POL005089,2019-11-20,2019-10-30,2016-11-03,2017-11-03,21,Toyota,Camry,Hatchback,theft_damage,side,minor,phone,comprehensive,False,True,True,1,114204,28,0,4,2018,31056.05,0.88,28571.57,352.0,0.0123,True,0.0,0.0,sent_to_garage
CLM003134,POL000243,2020-02-07,2020-02-03,2016-11-10,2017-11-10,4,Ford,Fiesta,Estate,flood,side,severe,broker,comprehensive,False,True,True,13,131540,32,1,19,2007,12313.37,0.763,1231.34,3052.0,2.0,False,1.0,1.0,scrapped_by_handler
CLM003137,POL004761,2017-06-10,2017-05-16,2013-06-11,2014-06-11,25,Ford,Fiesta,Van,flood,roof,moderate,broker,comprehensive,True,False,False,0,16663,52,0,9,2017,11960.07,0.729,11960.07,1822.5,0.1524,False,0.0,0.0,sent_to_garage
CLM003138,POL000321,2019-12-24,2019-11-27,2017-02-26,2018-02-26,27,Volkswagen,Polo,Hatchback,vandalism,multiple,minor,online,third_party_fire_theft,False,False,True,0,130763,52,0,18,2019,15398.19,0.875,15398.19,700.0,0.0455,False,0.0,0.0,sent_to_garage
CLM003140,POL002127,2021-05-03,2021-05-02,2020-02-29,2021-02-28,1,Toyota,Camry,Estate,vandalism,roof,minor,app,third_party,False,False,True,8,95895,68,1,14,2013,30447.45,0.889,10961.08,533.4,0.0487,False,0.0,0.0,sent_to_garage
CLM003141,POL001713,2017-12-29,2017-12-10,2017-01-25,2018-01-25,19,Ford,Focus,SUV,theft_damage,roof,moderate,app,comprehensive,False,True,True,14,176052,38,1,4,2003,,,,,,False,0.0,1.0,sent_to_garage
CLM003143,POL006663,2017-10-19,2017-10-01,2012-10-13,2013-10-13,18,Toyota,Yaris,Estate,vandalism,roof,minor,phone,third_party,False,True,True,12,113801,17,2,19,2005,14258.14,0.778,1425.81,466.8,0.3274,False,0.0,0.0,sent_to_garage
CLM003146,POL003612,2018-11-26,2018-11-05,2017-04-15,2018-04-15,21,Ford,Kuga,Van,fire,roof,moderate,direct,third_party,False,True,True,16,187930,42,0,11,2002,,,,,,False,0.0,1.0,sent_to_garage
CLM003147,POL004151,2017-10-01,2017-09-16,2015-11-30,2016-11-29,15,Vauxhall,Corsa,Sedan,fire,multiple,moderate,phone,comprehensive,True,True,True,4,147282,41,1,3,2013,12356.16,0.715,8402.19,2502.5,0.2978,False,0.0,1.0,sent_to_garage
CLM003149,POL004848,2020-09-16,2020-09-14,2019-06-16,2020-06-15,2,Honda,HR-V,Estate,flood,multiple,severe,phone,comprehensive,False,True,True,20,144496,17,1,14,2000,,,,,,False,1.0,1.0,scrapped_by_handler
CLM003152,POL003380,2016-08-11,2016-08-02,2013-04-16,2014-04-16,9,Nissan,Leaf,Hatchback,flood,roof,minor,direct,third_party_fire_theft,False,True,False,9,199964,61,1,11,2007,30533.13,1.019,8549.28,611.4,0.0715,False,0.0,0.0,sent_to_garage
CLM003154,POL000699,2019-01-03,2019-01-02,2015-05-14,2016-05-13,1,Vauxhall,Mokka,Hatchback,flood,front,minor,phone,comprehensive,False,True,False,5,192538,39,1,13,2014,22531.78,0.811,13519.07,405.5,0.03,False,0.0,1.0,sent_to_garage
CLM003156,POL001874,2017-12-20,2017-12-18,2016-05-30,2017-05-30,2,Mercedes,A-Class,Sedan,flood,rear,moderate,broker,comprehensive,False,True,True,17,86262,31,1,12,2000,,,,,,False,0.0,1.0,sent_to_garage
CLM003157,POL000397,2016-04-20,2016-04-14,2013-10-30,2014-10-30,6,Audi,Q5,Van,vandalism,side,moderate,direct,third_party_fire_theft,False,False,True,5,125134,64,0,7,2011,43270.67,1.838,25962.4,2757.0,0.1062,True,0.0,1.0,sent_to_garage
CLM003158,POL000322,2021-12-23,2021-12-09,2018-04-06,2019-04-06,14,Mercedes,GLC,Sedan,collision,roof,minor,direct,comprehensive,False,True,False,2,1117,38,0,14,2019,50139.33,1.936,42117.04,1161.6,0.0276,True,0.0,0.0,sent_to_garage
CLM003159,POL005173,2020-12-19,2020-12-08,2013-07-16,2014-07-16,11,Mercedes,E-Class,SUV,theft_damage,multiple,moderate,direct,comprehensive,True,False,False,13,72805,66,0,12,2007,50011.02,1.947,5001.1,6814.5,1.3626,False,1.0,1.0,scrapped_by_handler
CLM003160,POL001763,2020-12-30,2020-12-29,2012-10-08,2013-10-08,1,Mercedes,A-Class,SUV,collision,front,moderate,online,comprehensive,False,False,True,15,79542,37,0,1,2005,30980.37,1.846,3098.04,3692.0,1.1917,False,1.0,1.0,scrapped_by_handler
CLM003161,POL006362,2018-05-15,2018-05-05,2017-12-20,2018-12-20,10,Honda,CR-V,Hatchback,flood,multiple,moderate,phone,third_party_fire_theft,False,True,False,0,133498,40,0,14,2018,29853.14,0.924,29853.14,3234.0,0.1083,True,0.0,0.0,sent_to_garage
CLM003162,POL005983,2020-06-14,2020-05-21,2015-10-10,2016-10-09,24,Hyundai,i10,SUV,theft_damage,front,moderate,direct,comprehensive,True,False,False,3,113401,40,2,11,2017,12500.87,0.766,9500.66,1532.0,0.1613,False,0.0,1.0,sent_to_garage
CLM003166,POL003900,2018-12-31,2018-12-31,2018-12-22,2019-12-22,0,BMW,1 Series,Hatchback,flood,multiple,moderate,app,third_party_fire_theft,False,True,True,17,169002,32,0,12,2001,,,,,,False,0.0,1.0,sent_to_garage
CLM003168,POL001065,2019-06-12,2019-05-18,2015-06-23,2016-06-22,25,Ford,Mondeo,SUV,theft_damage,rear,severe,direct,comprehensive,False,True,True,10,168749,36,0,18,2009,21563.33,0.857,4312.67,3856.5,0.8942,False,0.0,1.0,sent_to_garage
CLM003171,POL006454,2017-06-25,2017-06-01,2014-03-29,2015-03-29,24,Honda,HR-V,Estate,collision,roof,severe,phone,third_party,True,False,True,14,83122,55,1,6,2003,,,,,,False,0.0,1.0,sent_to_garage
CLM003173,POL004014,2021-06-19,2021-06-10,2016-03-28,2017-03-28,9,Nissan,Juke,Motorbike,vandalism,roof,minor,broker,comprehensive,True,True,True,18,164660,33,4,1,2003,,,,,,False,0.0,0.0,sent_to_garage
CLM003175,POL003829,2021-03-18,2021-03-17,2017-10-22,2018-10-22,1,Hyundai,Tucson,Hatchback,vandalism,multiple,moderate,phone,third_party,False,False,True,17,89220,35,2,19,2004,26936.31,0.857,2693.63,2999.5,1.1136,False,1.0,1.0,scrapped_by_handler
CLM003176,POL000227,2017-12-14,2017-11-14,2012-06-08,2013-06-08,30,BMW,3 Series,SUV,flood,front,moderate,broker,comprehensive,False,True,True,11,142668,46,1,18,2006,36107.99,1.757,4332.96,3514.0,0.811,False,0.0,1.0,sent_to_garage
CLM003178,POL002060,2017-01-05,2016-12-12,2016-05-01,2017-05-01,24,BMW,5 Series,Estate,vandalism,rear,minor,phone,comprehensive,False,True,True,19,49360,17,1,1,1998,,,,,,False,0.0,0.0,sent_to_garage
CLM003180,POL002865,2017-11-18,2017-11-03,2015-03-03,2016-03-02,15,Nissan,Juke,Estate,flood,multiple,minor,app,comprehensive,True,True,True,18,165188,51,0,4,1999,,,,,,False,0.0,1.0,sent_to_garage
CLM003182,POL001454,2019-10-21,2019-09-24,2015-03-31,2016-03-30,27,Audi,Q5,Van,theft_damage,rear,moderate,phone,comprehensive,False,True,True,13,55597,30,1,11,2006,43734.85,1.885,4373.48,3393.0,0.7758,False,0.0,0.0,sent_to_garage
CLM003183,POL002776,2018-02-16,2018-01-25,2016-10-16,2017-10-16,22,BMW,3 Series,Van,theft_damage,front,minor,online,comprehensive,False,False,False,2,51888,55,0,4,2016,34362.97,1.8,28864.89,900.0,0.0312,True,0.0,0.0,sent_to_garage
CLM003184,POL000982,2018-02-17,2018-01-27,2014-06-08,2015-06-08,21,BMW,1 Series,SUV,flood,front,moderate,broker,comprehensive,True,False,True,1,36051,43,0,3,2017,27908.67,1.729,25675.98,3458.0,0.1347,True,0.0,0.0,sent_to_garage
CLM003185,POL000326,2018-11-16,2018-11-04,2018-06-30,2019-06-30,12,Honda,HR-V,Estate,collision,rear,moderate,online,comprehensive,False,False,True,19,147689,19,1,7,1999,,,,,,False,0.0,0.0,sent_to_garage
CLM003189,POL000810,2021-09-01,2021-08-20,2016-05-13,2017-05-13,12,Nissan,Juke,Sedan,fire,multiple,minor,online,third_party,False,True,True,4,106658,47,0,0,2017,20630.15,0.847,14028.5,677.6,0.0483,False,0.0,1.0,sent_to_garage
CLM003190,POL001629,2019-10-01,2019-09-16,2015-09-07,2016-09-06,15,Vauxhall,Corsa,Motorbike,flood,multiple,minor,broker,comprehensive,False,False,False,2,91056,67,0,15,2017,12940.79,0.704,10870.26,563.2,0.0518,False,0.0,0.0,sent_to_garage
CLM003192,POL000152,2018-06-19,2018-06-08,2014-03-27,2015-03-27,11,Vauxhall,Insignia,Van,flood,rear,moderate,app,comprehensive,False,False,True,17,92303,35,2,7,2001,,,,,,False,0.0,0.0,sent_to_garage
CLM003194,POL003953,2019-06-05,2019-05-26,2016-11-21,2017-11-21,10,Honda,HR-V,Sedan,vandalism,rear,minor,broker,comprehensive,False,True,True,3,25030,28,2,3,2016,24651.9,0.876,18735.44,394.2,0.021,True,0.0,0.0,sent_to_garage
